,file,rating
0,7.png,6
1,1.png,0
2,2.png,1
3,2.png,1
4,5.png,6
5,6.png,5
6,0.png,0
7,6.png,7
8,7.png,7
9,8.png,6
10,1.png,1
11,3.png,3
12,4.png,5
13,4.png,4
14,1.png,1
15,5.png,7
16,1.png,1
17,2.png,2
18,3.png,3
19,5.png,5
20,2.png,3
21,3.png,2
22,4.png,4
23,4.png,4
24,1.png,2
25,5.png,7
26,0.png,0
27,7.png,8
28,8.png,8
29,8.png,8
30,0.png,1
31,8.png,8
32,6.png,7
33,6.png,7
34,3.png,3
35,0.png,1
36,2.png,2
37,7.png,6
38,5.png,4
39,8.png,7
40,6.png,6
41,5.png,5
42,4.png,3
43,2.png,1
44,0.png,0
45,6.png,5
46,2.png,1
47,2.png,1
48,4.png,3
49,0.png,1
50,3.png,2
51,3.png,2
52,5.png,4
53,8.png,7
54,7.png,6
55,8.png,6
56,6.png,6
57,7.png,6
58,6.png,6
59,7.png,6
60,3.png,2
61,1.png,1
62,0.png,0
63,1.png,1
64,3.png,2
65,6.png,5
66,8.png,5
67,4.png,3
68,5.png,4
69,4.png,2
70,3.png,1
71,5.png,5
72,7.png,6
73,7.png,6
74,3.png,4
75,2.png,3
76,0.png,3
77,1.png,3
78,4.png,4
79,8.png,6
80,5.png,5
81,7.png,6
82,1.png,2
83,2.png,1
84,4.png,4
85,1.png,2
86,0.png,1
87,8.png,8
88,6.png,6
89,0.png,2
