,file,rating
0,3.png,4
1,7.png,6
2,5.png,5
3,6.png,6
4,1.png,4
5,1.png,3
6,8.png,7
7,8.png,7
8,7.png,6
9,5.png,5
10,2.png,2
11,2.png,2
12,1.png,1
13,5.png,5
14,8.png,7
15,1.png,1
16,5.png,5
17,1.png,3
18,2.png,2
19,0.png,1
20,7.png,5
21,1.png,3
22,3.png,4
23,2.png,3
24,3.png,4
25,0.png,0
26,4.png,5
27,3.png,3
28,6.png,6
29,3.png,3
30,5.png,7
31,4.png,5
32,7.png,8
33,6.png,7
34,7.png,7
35,4.png,3
36,4.png,4
37,6.png,6
38,7.png,7
39,8.png,8
40,8.png,8
41,0.png,1
42,1.png,2
43,6.png,5
44,6.png,5
45,0.png,1
46,5.png,5
47,7.png,6
48,4.png,4
49,6.png,6
50,8.png,7
51,1.png,2
52,0.png,1
53,5.png,5
54,2.png,3
55,4.png,5
56,8.png,7
57,0.png,2
58,7.png,6
59,3.png,3
60,6.png,5
61,8.png,6
62,2.png,3
63,4.png,4
64,5.png,5
65,4.png,5
66,0.png,1
67,2.png,3
68,1.png,3
69,6.png,5
70,3.png,3
71,6.png,6
72,5.png,5
73,3.png,3
74,8.png,7
75,7.png,6
76,0.png,2
77,8.png,5
78,3.png,3
79,4.png,4
80,7.png,6
81,2.png,2
82,2.png,2
83,1.png,1
84,0.png,0
85,2.png,3
86,4.png,4
87,5.png,5
88,0.png,3
89,3.png,4
