,file,rating
0,6.png,7
1,0.png,2
2,5.png,5
3,3.png,1
4,4.png,4
5,3.png,2
6,5.png,5
7,2.png,2
8,3.png,2
9,7.png,5
10,4.png,3
11,8.png,6
12,0.png,1
13,7.png,8
14,4.png,2
15,0.png,0
16,1.png,0
17,0.png,0
18,2.png,1
19,1.png,1
20,6.png,7
21,2.png,0
22,5.png,6
23,7.png,7
24,8.png,8
25,6.png,5
26,6.png,5
27,0.png,0
28,4.png,4
29,2.png,2
30,3.png,3
31,5.png,5
32,8.png,6
33,7.png,5
34,0.png,0
35,7.png,6
36,8.png,7
37,3.png,1
38,7.png,6
39,7.png,6
40,7.png,6
41,2.png,0
42,6.png,6
43,2.png,1
44,3.png,3
45,4.png,4
46,4.png,4
47,3.png,1
48,0.png,0
49,3.png,1
50,4.png,4
51,5.png,5
52,5.png,5
53,8.png,6
54,1.png,1
55,1.png,1
56,1.png,1
57,0.png,1
58,5.png,6
59,2.png,2
60,4.png,4
61,5.png,5
62,1.png,0
63,6.png,6
64,8.png,8
65,3.png,1
66,7.png,7
67,4.png,4
68,0.png,2
69,1.png,3
70,8.png,7
71,0.png,0
72,5.png,8
73,5.png,8
74,4.png,0
75,6.png,5
76,6.png,5
77,8.png,8
78,3.png,4
79,6.png,6
80,1.png,0
81,1.png,3
82,1.png,3
83,2.png,3
84,2.png,2
85,8.png,7
86,8.png,7
87,7.png,6
88,6.png,5
89,2.png,0
